7/15/2016 11:11:50 PM
3 1 1948 volts
Name	Area	Similarity	Match	R.T. (s)	Height	FWHH (s)	Tailing Factor	Peak S/N	Quant S/N	Base Mass	Quant Masses	CAS	Group	Type	Sample	Spectrum
Peak 1	141870	72		239.787	8160	0.881	2.03	12	46	223.00	XIC(223.00±500ppm)			Unknown	Day 1 L-3 v-1	223.00323:2096.95 289.48257:291.47 328.44571:294.88 352.15093:117.34 357.74143:95.19 382.80173:76.01 386.35456:107.72 394.89949:487.93 395.21726:255.94 398.57884:197.97 399.41802:133.05 403.96134:453.88 409.34239:101.56 421.82295:87.44 432.38056:236.69 434.13002:271.98 435.98984:105.72 436.47492:252.85 440.13682:158.62 452.21826:163.59 453.08015:204.28 455.54214:215.14 462.23967:181.00 465.69964:146.96 466.37399:83.59 469.37926:190.41 483.56433:329.69 498.44991:185.71 502.46226:86.42 514.36545:137.92 519.42216:696.56 520.40494:83.64 525.11874:133.40 538.19061:164.77 538.66246:99.43 538.95250:96.64 541.01759:204.21 542.22081:129.05 543.93497:338.60 545.53503:349.76 546.22883:133.42 551.38834:550.13 562.33448:130.18 563.33840:519.25 569.54678:549.60 575.97213:91.10 584.47481:102.19 597.87755:214.67 599.37060:115.31
Peak 2	7570381	169		248.928	116895	7.770	1.30	503	227	281.03	XIC(281.03±500ppm)			Unknown	Day 1 L-3 v-1	265.00244:6969.17 265.81082:1153.17 281.02754:82618.81 281.50768:1205.11 282.02399:23081.39 283.02336:12808.24 320.45179:175.75 371.09114:243.35 378.68836:254.42 379.26532:75.40 379.72014:230.95 397.33257:221.51 405.30771:102.25 422.69074:160.44 434.84630:199.73 435.95513:173.32 447.41258:82.01 474.57219:102.86 488.62479:81.41 490.87510:150.20 529.15946:216.96 531.31395:214.49 532.12923:207.51 563.52032:75.33 576.87211:81.10 581.64917:196.34 594.66983:134.74
Decane	33744969	906		252.968	2199360	0.779	0.91	739	365	57.08	XIC(57.08±500ppm)		p	Unknown	Day 1 L-3 v-1	54.05936:52411.70 55.06459:537213.19 56.07070:673581.93 56.20508:37149.35 57.07806:3374862.97 57.43904:5678.53 57.68742:3300.71 57.75967:2675.13 58.08075:156183.41 58.68885:1416.43 69.07260:180171.83 70.07926:451161.45 70.30560:8067.27 70.80395:2214.10 71.08713:1169066.60 71.51461:1899.07 71.68778:1898.62 71.72615:1161.07 71.81508:3712.25 72.11803:27316.61 83.08372:40051.67 84.09096:254157.05 85.09794:709205.35 86.10290:47679.94 98.10311:129799.74 99.10966:180491.10 99.66169:687.02 113.12548:108694.36 114.20968:2561.49 115.35781:7877.69 142.16073:124504.37 143.21113:5745.12 353.23356:277.89 357.56421:87.50 362.50845:290.65 372.00072:117.28 373.74989:145.51 378.23189:132.27 379.66626:286.47 389.58320:179.33 390.41741:121.34 396.67595:81.94 396.80039:179.32 398.10813:95.23 421.85509:229.15 424.65048:90.34 425.10118:105.39 431.85449:305.18 432.63455:351.75 432.76755:149.41 434.32950:175.55 435.33785:75.79 436.83815:93.92 438.34104:108.58 443.42482:177.25 447.87521:79.48 448.24506:167.32 451.78399:147.53 455.81651:263.30 457.44517:87.22 457.91295:150.94 460.12145:81.62 466.81650:303.16 476.82047:108.67 481.53858:113.52 490.99333:672.78 491.63075:169.96 493.62921:320.04 493.98910:224.08 494.58109:92.47 515.99618:86.52 527.37046:237.74 530.53265:328.99 531.14887:95.66 540.59371:270.04 543.67657:94.07 546.10917:200.55 553.62747:143.15 555.09845:125.87 568.72307:92.94 569.89257:392.92 572.57320:179.44 575.82220:106.80 582.77694:167.75 583.41799:91.94 591.44336:93.74 598.18783:311.21
Decane (C10)	54271675	693		252.994	3566975	0.877	0.84	532	400	57.08	XIC(57.07±0.5)		t	Target	Day 1 L-3 v-1	57.07641:2727102.00 58.06494:137716.20 71.08593:1007071.56 72.06163:53891.53 73.04816:3709.66 74.03467:2443.75 85.09676:583276.25 86.08581:47546.88 87.02578:3424.52 88.02879:845.58 142.15779:103469.04 143.11875:14634.70 144.07236:1236.35
Peak 4	35332294	424		267.284	2394907	0.732	1.11	2129	454	57.08	XIC(57.08±500ppm)			Unknown	Day 1 L-3 v-1	47.04600:6445.63 48.55286:7606.93 49.05539:48634.25 49.55287:14007.59 53.02825:59701.42 53.08716:34204.93 55.06474:606933.66 56.07088:731310.38 57.07780:3753936.94 58.05286:1026276.90 59.05658:2508018.49 59.28804:18087.66 60.05846:77365.12 69.07930:72482.19 71.06935:43708.11 75.04349:946205.60 76.04425:29851.80 83.08523:45629.46 97.09678:133818.09 112.12051:47504.91 113.11285:144015.20 114.10287:21202.81 115.10482:70139.68 288.65963:90.58 339.43117:145.25 340.60580:336.64 352.52972:321.34 367.58803:295.10 371.27622:640.19 378.50272:226.62 384.33111:141.78 393.98436:345.59 398.67931:253.25 399.26430:287.48 404.55344:165.55 406.62939:100.49 408.43005:226.19 418.36572:149.17 441.06021:336.40 442.60229:212.66 449.23265:238.04 452.38174:93.08 453.61331:333.36 456.51031:78.10 457.91295:77.44 460.45653:89.92 461.26123:125.30 462.91156:290.38 464.35243:86.01 468.70208:273.16 470.63356:87.79 470.76910:93.04 471.24365:127.85 483.42308:252.28 488.24652:274.86 488.58758:233.34 489.73020:75.28 495.09505:278.25 495.58842:203.07 496.28929:318.95 496.42374:175.48 501.79549:197.25 505.16215:548.38 508.03775:190.37 509.10151:229.06 510.79281:205.09 512.66656:112.46 515.78333:162.19 517.20317:95.08 517.73705:221.38 519.65812:609.08 520.04870:178.25 528.56031:81.15 529.17486:229.50 530.82769:299.28 531.79700:106.29 534.06942:306.85 546.59393:93.20 566.89476:165.12 574.66473:205.53 581.57889:444.12 586.59130:91.12 588.93902:150.32 590.00082:109.67 592.58346:192.09 597.11684:359.53 600.40192:181.29
Peak 5	2111491	2		278.333	121266	0.804	1.97	127	124	207.01	XIC(207.01±500ppm)			Unknown	Day 1 L-3 v-1	96.92235:1185.00 97.46357:2039.88 192.92040:8365.38 207.01062:153254.71 208.01001:33591.18 209.01042:25593.35 224.99196:1873.70 249.49167:131.51 271.84777:329.04 293.83057:424.53 294.63371:137.76 300.39826:135.81 308.84788:180.68 317.58171:119.56 321.18291:318.07 353.91159:102.50 358.57296:489.30 359.48096:243.87 360.84567:381.22 364.74674:119.65 365.88107:99.27 377.98894:220.42 378.92412:137.18 383.71899:209.82 388.84763:236.51 393.53971:456.90 395.89391:163.25 403.73710:79.76 406.72302:163.09 407.54634:231.27 410.22765:135.84 411.05052:116.15 416.45119:145.24 427.35829:111.42 433.80831:224.65 433.97026:118.68 440.03971:231.73 442.17556:184.56 447.94131:92.46 449.16359:280.46 452.21557:154.57 452.71400:183.56 456.54743:255.76 459.96619:462.43 461.32832:93.18 463.27606:135.82 464.75639:96.47 466.84631:123.43 470.56579:130.41 473.68797:115.92 491.56101:267.81 492.56854:131.85 493.98625:182.66 504.63525:93.03 508.50209:154.41 510.75868:140.52 526.04972:94.29 537.61221:213.67 542.47013:230.62 547.47066:105.39 548.93345:118.31 551.90687:253.07 552.52551:129.78 554.03245:176.59 557.49253:113.83 557.56911:126.67 558.48912:78.82 561.62899:214.94 572.37923:152.05 572.75296:87.49 573.01378:295.53 573.42599:81.60 575.25359:413.41 575.97213:127.62 578.93254:244.76 580.06406:227.89 583.87080:138.57 587.38177:266.34 589.16647:91.37 590.07670:86.32 591.21548:143.04 598.34781:171.39
Peak 6	1420175			293.59	79824	0.750	0.62	242	249	266.97	XIC(266.97±500ppm)			Unknown	Day 1 L-3 v-1	125.97394:32982.62 126.47538:12006.11 126.93524:2824.36 127.47495:560.99 196.51050:239.76 222.86333:760.27 223.86777:670.02 236.93181:5654.21 250.95386:17124.99 251.95797:16923.96 252.78747:1354.87 253.77797:1525.94 266.97488:101561.73 267.97696:33252.33 268.92583:9269.06 282.72046:309.69 282.99214:16140.01 283.29468:1269.79 283.48254:243.40 283.98298:2518.93 284.93533:1124.44 296.93951:983.27 307.91542:95.07 319.44382:347.83 322.05036:171.84 335.95762:193.39 352.67867:92.78 356.61981:89.45 359.54286:376.89 363.01880:142.62 363.17017:420.09 378.04967:101.89 379.54189:205.88 418.48148:845.83 418.73452:313.28 419.77250:148.71 422.94318:380.00 423.81409:92.93 426.32573:78.24 428.22787:182.17 437.19674:256.24 438.47185:111.67 439.19360:313.45 441.74839:112.22 442.66801:89.57 443.19393:89.95 445.03713:118.27 455.10983:125.27 460.55972:384.20 462.60396:161.98 464.18865:302.16 469.44364:157.32 476.27494:88.55 480.92186:181.48 482.29289:115.91 484.14688:91.51 486.42173:231.10 486.54654:220.22 488.00354:157.43 491.08100:311.94 491.80623:79.13 492.42989:78.09 499.77502:382.68 506.81292:126.24 512.45440:98.50 512.59584:82.46 516.56400:108.31 519.33658:91.95 522.54494:117.23 530.64505:103.03 546.92593:177.12 548.02249:245.46 549.99326:317.26 556.24674:234.84 556.71878:111.50 558.19387:82.67 562.88230:176.09 570.03052:208.68 574.14517:265.63 576.45788:271.43 577.43752:314.26 579.23869:253.99
Peak 7	200164	114		298.25	12229	0.785	1.18	50	48	253.97	XIC(253.97±500ppm)			Unknown	Day 1 L-3 v-1	204.00201:2617.93 222.99231:5857.81 253.97243:14957.91 340.49719:312.44 353.38294:176.95 364.41774:284.47 369.11456:204.40 376.06452:132.52 378.20741:265.73 385.74083:112.50 386.41596:139.95 391.69236:233.77 409.02647:101.49 410.29091:105.72 415.62292:100.61 418.97120:212.55 421.53881:242.08 423.97730:219.93 430.72275:118.09 432.73477:150.76 434.29568:93.03 439.25711:163.33 439.42814:156.50 442.14239:195.09 445.63040:132.44 446.62006:114.99 449.23162:325.77 453.51190:84.61 460.42039:236.44 467.28849:448.53 469.48224:120.35 473.21219:80.47 476.57830:210.80 478.39059:144.46 480.71637:101.65 483.62962:293.72 493.26206:89.58 509.16155:489.97 509.66100:157.95 512.31298:90.99 514.82678:216.81 517.44902:222.77 525.26191:128.46 533.38298:124.20 537.90288:232.16 543.13536:193.34 544.18654:95.15 545.79088:144.68 546.85182:262.20 547.03221:115.75 547.50156:341.43 552.49503:285.57 552.96616:103.13 561.89011:90.34 562.48264:103.50 564.78165:138.63 565.59855:114.57 567.04665:201.75 567.78676:178.17 570.43777:142.04 572.82772:134.34 580.66401:361.89 584.09726:116.37 584.43222:441.04
Perfluoronaphthalene	18486810	876		300.923	1289653	0.740	1.05	6609	5701	271.96	XIC(271.96±500ppm)		p	Unknown	Day 1 L-3 v-1	79.00450:41241.82 92.99439:105951.84 97.99899:36982.76 101.49332:10906.56 103.00028:49497.72 104.63073:379.91 109.98415:20182.25 116.99276:100026.75 120.50393:1274.35 121.99487:53476.91 126.48330:9293.48 126.96776:8702.10 133.99411:56835.44 134.20279:3337.30 135.98248:160379.41 136.19945:3077.06 136.48356:18486.34 140.99189:117492.47 141.95377:3800.16 144.42598:1420.40 145.99805:31290.47 146.21749:2310.94 147.96538:6862.76 152.99265:65890.17 153.98862:4874.88 159.98761:16172.78 164.99617:81217.99 165.79308:759.02 165.95602:3555.93 171.99112:74936.99 172.98685:4648.77 175.53726:2816.47 175.70095:3750.35 178.98901:27219.22 183.99184:30438.97 190.98526:60329.97 194.77945:11955.83 202.98698:285355.14 203.99233:35814.33 204.80548:638.09 205.34857:1644.03 205.66141:2232.03 206.74924:9680.79 206.82223:2062.07 207.61559:4095.87 207.77478:5216.89 209.98636:53429.89 210.93410:2495.32 221.97705:383893.12 222.97888:42930.84 223.86927:2093.66 224.00794:1563.42 224.33372:1425.30 224.66650:1794.35 226.01008:59134.37 226.91561:1257.86 229.58057:170.46 233.98391:39170.10 234.96812:6390.67 235.77374:233.77 240.97290:739525.10 241.97896:79178.87 242.98494:81996.99 244.31191:4284.89 244.83065:1117.25 246.78572:204.64 252.63500:581.92 252.98012:94702.70 253.98284:19605.55 254.79827:348.98 271.96449:1578102.33 272.96818:176997.56 273.97241:8799.25 274.58728:623.59 279.55214:209.88 298.53536:317.39 306.60141:115.70 307.83872:302.65 317.41474:186.08 318.97480:173.94 334.27173:236.82 359.48182:445.77 375.74532:80.85 391.28196:91.59 391.52915:216.40 394.43948:104.08 404.27395:366.26 411.14161:204.46 419.41675:302.67 420.28465:114.33 420.50567:150.22 420.57337:127.35 423.36407:129.07 424.26435:116.27 427.74583:113.06 439.48560:392.17 454.54436:446.27 455.24311:163.56 464.38362:196.74 466.27420:259.68 467.55806:278.58 468.06197:90.02 468.46754:140.54 468.88713:330.59 472.01916:251.80 473.34810:98.66 473.75595:87.38 477.02512:88.88 482.12005:201.15 484.21562:76.81 485.66017:113.13 486.30135:395.73 487.58959:121.84 490.97529:99.29 502.11222:117.53 522.72925:343.61 523.36642:157.33 524.43665:330.08 528.12950:85.48 533.77991:361.98 539.31516:118.41 543.13235:173.10 549.47290:131.00 552.48959:258.87 569.95423:384.43 570.47086:204.73 576.19706:124.02 588.10542:140.56 592.73555:115.45 597.49156:149.30 597.72983:351.32 600.47904:179.01
OFN	24695730	855		300.924	1727950	0.863	1.05	3904	4826	271.96	XIC(271.99±0.5)		t	Target	Day 1 L-3 v-1	79.04716:45771.54 80.05662:3696.07 81.06506:2946.81 82.06434:2316.92 93.00396:100798.87 94.04251:4947.96 95.07056:2110.14 96.04819:2439.85 110.01039:32868.32 111.01167:3119.34 112.01087:2921.06 113.02077:4833.80 117.00408:91829.15 118.05564:6595.11 119.06741:2220.11 120.06760:2023.00 121.99673:55009.16 123.04837:8464.00 124.00080:8377.33 125.10455:1888.65 133.99785:50817.90 135.03464:5900.79 135.98352:136699.63 137.07262:4030.60 137.98991:5171.06 138.99844:5721.13 140.99896:102061.38 142.04755:11999.77 143.06561:2998.04 144.06560:2654.33 146.00317:27933.55 147.03398:3823.78 148.01273:12365.10 149.04198:4331.49 152.99807:58117.96 154.05527:7625.36 155.06493:3969.60 155.99904:1780.63 165.00069:70827.27 166.05149:9444.92 167.06028:2422.75 168.07203:2659.01 171.99241:64227.16 173.02309:7570.95 174.03858:2157.24 175.05915:3884.66 178.99560:23465.60 180.07771:2433.53 182.09833:1666.66 184.00255:26830.76 185.07286:3377.91 186.07778:2055.88 190.98889:49587.71 192.00515:6276.37 193.00948:2297.98 194.06603:2353.89 202.98957:248511.95 203.99524:31519.22 205.07647:3346.15 209.98873:44540.22 211.01204:5859.88 212.05976:3957.25 221.97722:329518.72 222.98003:37102.18 224.09972:4310.29 225.25835:3957.86 233.97952:33417.38 234.96997:7024.98 240.97323:633052.31 241.98238:68232.16 243.00049:55378.13 244.17189:4901.42 252.98257:80554.96 253.98408:16131.47 255.02475:3520.66 271.96448:1353410.00 272.97296:152017.64 273.98105:9965.21
